Player,Team,Position,Receptions,Receiving Yards,Receiving TDs,Re Yard/Avg,Re Yard/Game
Michael Mayer,LVR,TE,27,304,2,11.3,21.7
Zack Moss,IND,RB,27,192,2,7.1,13.7
Donald Parham,LAC,TE,27,285,4,10.6,20.4
Miles Sanders,CAR,RB,27,154,0,5.7,9.6
Kadarius Toney,KAN,WR,27,169,1,6.3,13.0
Justin Watson,KAN,WR,27,460,3,17.0,28.8
Demarcus Robinson,LAR,WR,26,371,4,14.3,23.2
Daniel Bellinger,NYG,TE,25,255,0,10.2,15.0
Austin Hooper,LVR,TE,25,234,0,9.4,13.8
Trenton Irwin,CIN,WR,25,316,1,12.6,19.8
Jerick McKinnon,KAN,RB,25,192,4,7.7,16.0
Raheem Mostert,MIA,RB,25,175,3,7.0,11.7
Colby Parkinson,SEA,TE,25,247,2,9.9,14.5
Hunter Renfrow,LVR,WR,25,255,0,10.2,15.0
Michael Carter,2TM,RB,24,101,1,4.2,6.7
Greg Dortch,ARI,WR,24,280,2,11.7,17.5
Jameson Williams,DET,WR,24,354,2,14.8,29.5
Connor Heyward,PIT,TE,23,167,0,7.3,9.8
Jalin Hyatt,NYG,WR,23,373,0,16.2,21.9
Allen Lazard,NYJ,WR,23,311,1,13.5,22.2
Tommy Tremble,CAR,TE,23,194,3,8.4,12.1
AJ Dillon,GNB,RB,22,223,0,10.1,14.9
Dawson Knox,BUF,TE,22,186,2,8.5,15.5
Marvin Mims,DEN,WR,22,377,1,17.1,23.6
Chris Moore,TEN,WR,22,424,0,19.3,24.9
Josh Oliver,MIN,TE,22,213,2,9.7,12.5
Drew Sample,CIN,TE,22,163,2,7.4,9.6
Jalen Tolbert,DAL,WR,22,268,2,12.2,15.8
Adam Trautman,DEN,TE,22,204,3,9.3,12.0
Cedrick Wilson Jr.,MIA,WR,22,296,3,13.5,19.7
Ty Chandler,MIN,RB,21,159,0,7.6,9.4
Emari Demercado,ARI,RB,21,119,0,5.7,8.5
Xavier Gipson,NYJ,WR,21,229,0,10.9,13.5
